sample	ps_id	tissue	default	percent_accessible_all	percent_accessible_hap1	percent_accessible_hap2	peaks
GM12878	PM00001	Lymphoblastoid (B-lymphocyte, EBV-transformed)	true	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00001/56c8efa47d30e7ffa5b12ebe6dd1e7c4/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00001/56c8efa47d30e7ffa5b12ebe6dd1e7c4/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00001/56c8efa47d30e7ffa5b12ebe6dd1e7c4/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00001/56c8efa47d30e7ffa5b12ebe6dd1e7c4/hg38/trackHub/bb/fire-peaks.bb
K562	PM00004	Erythroleukemia / myeloid	true	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00004/bab7c68a9ebb7a2b3c7201c7a7f4c2bf/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00004/bab7c68a9ebb7a2b3c7201c7a7f4c2bf/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00004/bab7c68a9ebb7a2b3c7201c7a7f4c2bf/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00004/bab7c68a9ebb7a2b3c7201c7a7f4c2bf/hg38/trackHub/bb/fire-peaks.bb
HepG2	PM00005	Hepatocyte (liver)	true	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00005/2917f9bdc4cdf28720fa5bf81eafb876/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00005/2917f9bdc4cdf28720fa5bf81eafb876/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00005/2917f9bdc4cdf28720fa5bf81eafb876/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00005/2917f9bdc4cdf28720fa5bf81eafb876/hg38/trackHub/bb/fire-peaks.bb
H1	PM00010	Embryonic stem cell	true	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00010/c8a8d41383128a1e3d26c4e5ff6754aa/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00010/c8a8d41383128a1e3d26c4e5ff6754aa/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00010/c8a8d41383128a1e3d26c4e5ff6754aa/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00010/c8a8d41383128a1e3d26c4e5ff6754aa/hg38/trackHub/bb/fire-peaks.bb
Hap1	PM00008	Myeloid (near-haploid)	true	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00008/09ce0ae0ea79bd7a84b97ddc9a32fb38/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00008/09ce0ae0ea79bd7a84b97ddc9a32fb38/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00008/09ce0ae0ea79bd7a84b97ddc9a32fb38/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00008/09ce0ae0ea79bd7a84b97ddc9a32fb38/hg38/trackHub/bb/fire-peaks.bb
Hek293T	PM00012	Human embryonic kidney	true	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00012/eb6e7dc0f85e205f584c65645f6da4b3/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00012/eb6e7dc0f85e205f584c65645f6da4b3/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00012/eb6e7dc0f85e205f584c65645f6da4b3/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00012/eb6e7dc0f85e205f584c65645f6da4b3/hg38/trackHub/bb/fire-peaks.bb
Jurkat	PM00009	T-lymphocyte	true	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00009/41ffee46fb1292f6566d022e01d256c1/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00009/41ffee46fb1292f6566d022e01d256c1/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00009/41ffee46fb1292f6566d022e01d256c1/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00009/41ffee46fb1292f6566d022e01d256c1/hg38/trackHub/bb/fire-peaks.bb
HG002	PM00002	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00002/66537188deac5f1b93fbaeb25bc42e01/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00002/66537188deac5f1b93fbaeb25bc42e01/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00002/66537188deac5f1b93fbaeb25bc42e01/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00002/66537188deac5f1b93fbaeb25bc42e01/hg38/trackHub/bb/fire-peaks.bb
Panc1	PM00006	Pancreatic ductal epithelial	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00006/d73722295e681ecf85cd2e65aa0e7c70/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00006/d73722295e681ecf85cd2e65aa0e7c70/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00006/d73722295e681ecf85cd2e65aa0e7c70/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00006/d73722295e681ecf85cd2e65aa0e7c70/hg38/trackHub/bb/fire-peaks.bb
THP-1	PM00007	Monocyte (myeloid)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00007/d9bace2630b732dea835e6faa6a357da/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00007/d9bace2630b732dea835e6faa6a357da/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00007/d9bace2630b732dea835e6faa6a357da/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00007/d9bace2630b732dea835e6faa6a357da/hg38/trackHub/bb/fire-peaks.bb
H9	PM00011	Embryonic stem cell	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00011/919ef478b700e2788cfb45d787ef0e96/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00011/919ef478b700e2788cfb45d787ef0e96/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00011/919ef478b700e2788cfb45d787ef0e96/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PM00011/919ef478b700e2788cfb45d787ef0e96/hg38/trackHub/bb/fire-peaks.bb
HG01123	PS00971	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00971/32075e85354ac89edd4e9472caa93d3c/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00971/32075e85354ac89edd4e9472caa93d3c/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00971/32075e85354ac89edd4e9472caa93d3c/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00971/32075e85354ac89edd4e9472caa93d3c/hg38/trackHub/bb/fire-peaks.bb
HG01258	PS00972	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00972/6131088532f16569cdfadb303c9251ff/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00972/6131088532f16569cdfadb303c9251ff/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00972/6131088532f16569cdfadb303c9251ff/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00972/6131088532f16569cdfadb303c9251ff/hg38/trackHub/bb/fire-peaks.bb
HG01358	PS00973	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00973/868b57a6e0470f9b749761dc80c1d4b4/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00973/868b57a6e0470f9b749761dc80c1d4b4/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00973/868b57a6e0470f9b749761dc80c1d4b4/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00973/868b57a6e0470f9b749761dc80c1d4b4/hg38/trackHub/bb/fire-peaks.bb
HG01361	PS00974	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00974/89b91e72dd977f456b2a00eb548d8c76/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00974/89b91e72dd977f456b2a00eb548d8c76/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00974/89b91e72dd977f456b2a00eb548d8c76/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00974/89b91e72dd977f456b2a00eb548d8c76/hg38/trackHub/bb/fire-peaks.bb
HG01891	PS00975	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00975/5497a65db4b1dc18f78e0fde852ca084/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00975/5497a65db4b1dc18f78e0fde852ca084/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00975/5497a65db4b1dc18f78e0fde852ca084/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00975/5497a65db4b1dc18f78e0fde852ca084/hg38/trackHub/bb/fire-peaks.bb
HG02071	PS00976	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00976/29ea847693b3d38d0d2849603df73cb2/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00976/29ea847693b3d38d0d2849603df73cb2/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00976/29ea847693b3d38d0d2849603df73cb2/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00976/29ea847693b3d38d0d2849603df73cb2/hg38/trackHub/bb/fire-peaks.bb
HG02074	PS00977	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00977/dca57606102ce19dc9a99d788a2a3171/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00977/dca57606102ce19dc9a99d788a2a3171/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00977/dca57606102ce19dc9a99d788a2a3171/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00977/dca57606102ce19dc9a99d788a2a3171/hg38/trackHub/bb/fire-peaks.bb
HG02132	PS00978	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00978/8ccfe29ff5a0093e8cfad2a727054d97/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00978/8ccfe29ff5a0093e8cfad2a727054d97/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00978/8ccfe29ff5a0093e8cfad2a727054d97/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00978/8ccfe29ff5a0093e8cfad2a727054d97/hg38/trackHub/bb/fire-peaks.bb
HG02135	PS00979	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00979/fa42dfae0df70d9bce4389a1b4681238/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00979/fa42dfae0df70d9bce4389a1b4681238/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00979/fa42dfae0df70d9bce4389a1b4681238/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00979/fa42dfae0df70d9bce4389a1b4681238/hg38/trackHub/bb/fire-peaks.bb
HG02257	PS00980	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00980/a340d9c3be89ac455752fb407495d6e3/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00980/a340d9c3be89ac455752fb407495d6e3/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00980/a340d9c3be89ac455752fb407495d6e3/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00980/a340d9c3be89ac455752fb407495d6e3/hg38/trackHub/bb/fire-peaks.bb
HG02486	PS00981	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00981/e148a02e55a49027536fa02cf1ad054b/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00981/e148a02e55a49027536fa02cf1ad054b/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00981/e148a02e55a49027536fa02cf1ad054b/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00981/e148a02e55a49027536fa02cf1ad054b/hg38/trackHub/bb/fire-peaks.bb
