sample	ps_id	tissue	default	percent_accessible_all	percent_accessible_hap1	percent_accessible_hap2	peaks
HG02559	PS00982	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00982/885268787c41c09ed7c1cabe8c1e6fc1/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00982/885268787c41c09ed7c1cabe8c1e6fc1/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00982/885268787c41c09ed7c1cabe8c1e6fc1/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00982/885268787c41c09ed7c1cabe8c1e6fc1/hg38/trackHub/bb/fire-peaks.bb
HG02572	PS00983	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00983/e5e3af18c23d821a70086aec8262fdc8/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00983/e5e3af18c23d821a70086aec8262fdc8/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00983/e5e3af18c23d821a70086aec8262fdc8/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00983/e5e3af18c23d821a70086aec8262fdc8/hg38/trackHub/bb/fire-peaks.bb
HG02717	PS00984	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00984/49dd2cf0726a10a4d8eb2c8221b6f8ac/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00984/49dd2cf0726a10a4d8eb2c8221b6f8ac/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00984/49dd2cf0726a10a4d8eb2c8221b6f8ac/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00984/49dd2cf0726a10a4d8eb2c8221b6f8ac/hg38/trackHub/bb/fire-peaks.bb
HG02886	PS00985	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00985/a352ed22ad490f183e1a89fc600c55dc/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00985/a352ed22ad490f183e1a89fc600c55dc/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00985/a352ed22ad490f183e1a89fc600c55dc/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00985/a352ed22ad490f183e1a89fc600c55dc/hg38/trackHub/bb/fire-peaks.bb
HG03516	PS00986	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00986/e9150edc165f21c8b60f524e32232b34/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00986/e9150edc165f21c8b60f524e32232b34/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00986/e9150edc165f21c8b60f524e32232b34/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00986/e9150edc165f21c8b60f524e32232b34/hg38/trackHub/bb/fire-peaks.bb
HG03804	PS00987	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00987/9bcdcdbfedc59d7fef2cae0f1acbe3ea/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00987/9bcdcdbfedc59d7fef2cae0f1acbe3ea/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00987/9bcdcdbfedc59d7fef2cae0f1acbe3ea/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00987/9bcdcdbfedc59d7fef2cae0f1acbe3ea/hg38/trackHub/bb/fire-peaks.bb
HG03942	PS00988	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00988/67b785f2ac06480aff5811f5f668d6b4/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00988/67b785f2ac06480aff5811f5f668d6b4/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00988/67b785f2ac06480aff5811f5f668d6b4/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00988/67b785f2ac06480aff5811f5f668d6b4/hg38/trackHub/bb/fire-peaks.bb
HG04160	PS00989	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00989/c29fefa1065e2cc26d914d6c79891535/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00989/c29fefa1065e2cc26d914d6c79891535/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00989/c29fefa1065e2cc26d914d6c79891535/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00989/c29fefa1065e2cc26d914d6c79891535/hg38/trackHub/bb/fire-peaks.bb
HG04187	PS00990	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00990/98c0504758e3c8cf4383f22658aac113/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00990/98c0504758e3c8cf4383f22658aac113/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00990/98c0504758e3c8cf4383f22658aac113/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS00990/98c0504758e3c8cf4383f22658aac113/hg38/trackHub/bb/fire-peaks.bb
A549	PS01302	Lung epithelial (adenocarcinoma)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01302/7b39ec1b123ae87b077dafc7d9090a1c/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01302/7b39ec1b123ae87b077dafc7d9090a1c/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01302/7b39ec1b123ae87b077dafc7d9090a1c/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01302/7b39ec1b123ae87b077dafc7d9090a1c/hg38/trackHub/bb/fire-peaks.bb
MCF-7	PS01305	Breast epithelial (adenocarcinoma)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01305/3f29e4e4b63b744ce4aeb72bbeecd70f/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01305/3f29e4e4b63b744ce4aeb72bbeecd70f/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01305/3f29e4e4b63b744ce4aeb72bbeecd70f/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01305/3f29e4e4b63b744ce4aeb72bbeecd70f/hg38/trackHub/bb/fire-peaks.bb
HCT116	PS01314	Colon epithelial (colorectal carcinoma)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01314/91cbfbadf9e012ed9a83a8987f7d12dd/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01314/91cbfbadf9e012ed9a83a8987f7d12dd/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01314/91cbfbadf9e012ed9a83a8987f7d12dd/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01314/91cbfbadf9e012ed9a83a8987f7d12dd/hg38/trackHub/bb/fire-peaks.bb
Caco-2	PS01319	Colon epithelial (colorectal adenocarcinoma)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01319/c26fd5d56fd09f84ff28c7c4b9f99559/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01319/c26fd5d56fd09f84ff28c7c4b9f99559/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01319/c26fd5d56fd09f84ff28c7c4b9f99559/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01319/c26fd5d56fd09f84ff28c7c4b9f99559/hg38/trackHub/bb/fire-peaks.bb
WTC-11	PS01388	Induced pluripotent stem cell (iPSC)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01388/85dce624f9c36c4f2ff11bc22af93dd1/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01388/85dce624f9c36c4f2ff11bc22af93dd1/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01388/85dce624f9c36c4f2ff11bc22af93dd1/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01388/85dce624f9c36c4f2ff11bc22af93dd1/hg38/trackHub/bb/fire-peaks.bb
GM28572	PS01517	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01517/0b5ee552d04d5730df674bd9ab288ce9/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01517/0b5ee552d04d5730df674bd9ab288ce9/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01517/0b5ee552d04d5730df674bd9ab288ce9/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01517/0b5ee552d04d5730df674bd9ab288ce9/hg38/trackHub/bb/fire-peaks.bb
GM28570	PS01518	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01518/f185df42c50391eebc7e3b69d5fd945f/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01518/f185df42c50391eebc7e3b69d5fd945f/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01518/f185df42c50391eebc7e3b69d5fd945f/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01518/f185df42c50391eebc7e3b69d5fd945f/hg38/trackHub/bb/fire-peaks.bb
GM25456	PS01519	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01519/5612ea912092183984914c6d25998b1f/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01519/5612ea912092183984914c6d25998b1f/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01519/5612ea912092183984914c6d25998b1f/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01519/5612ea912092183984914c6d25998b1f/hg38/trackHub/bb/fire-peaks.bb
GM25455	PS01520	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01520/27d0455403f6b4221c7267604c468aff/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01520/27d0455403f6b4221c7267604c468aff/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01520/27d0455403f6b4221c7267604c468aff/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01520/27d0455403f6b4221c7267604c468aff/hg38/trackHub/bb/fire-peaks.bb
GM27730	PS01524	Lymphoblastoid (B-lymphocyte, EBV-transformed)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01524/8f7783e80526113d9dda6bb3ed387bee/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01524/8f7783e80526113d9dda6bb3ed387bee/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01524/8f7783e80526113d9dda6bb3ed387bee/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01524/8f7783e80526113d9dda6bb3ed387bee/hg38/trackHub/bb/fire-peaks.bb
HG008-SC14	PS01680	Pancreatic ductal adenocarcinoma (single-cell clone)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01680/e62d7a263d45e7c8aab1ba37073dcf8b/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01680/e62d7a263d45e7c8aab1ba37073dcf8b/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01680/e62d7a263d45e7c8aab1ba37073dcf8b/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01680/e62d7a263d45e7c8aab1ba37073dcf8b/hg38/trackHub/bb/fire-peaks.bb
HG008-3E4	PS01682	Pancreatic ductal adenocarcinoma (single-cell clone)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01682/7292f867d393025f3a3ce0dbb72deec3/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01682/7292f867d393025f3a3ce0dbb72deec3/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01682/7292f867d393025f3a3ce0dbb72deec3/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01682/7292f867d393025f3a3ce0dbb72deec3/hg38/trackHub/bb/fire-peaks.bb
HG008-SC24	PS01684	Pancreatic ductal adenocarcinoma (single-cell clone)	false	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01684/4675a175b21734616e6ca9b63ba27b62/hg38/trackHub/bw/all.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01684/4675a175b21734616e6ca9b63ba27b62/hg38/trackHub/bw/hap1.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01684/4675a175b21734616e6ca9b63ba27b62/hg38/trackHub/bw/hap2.percent.accessible.bw	https://s3.kopah.uw.edu/userprod/web/public/hashed.PacBio-Fiber-seq/PS01684/4675a175b21734616e6ca9b63ba27b62/hg38/trackHub/bb/fire-peaks.bb
